,x,y
0,11063780487.8049,-63.9415837887245
1,11063975609.7561,-63.8516976081878
2,11064170731.7073,-63.9192543504551
3,11064365853.6585,-64.203508271875
4,11064560975.6098,-64.0919070140602
5,11064756097.561,-63.4130840523031
6,11064951219.5122,-63.6503135202835
7,11065146341.4634,-64.0258201448186
8,11065341463.4146,-64.2612983968895
9,11065536585.3659,-64.4379989530067
10,11065731707.3171,-65.1702196457756
11,11065926829.2683,-64.7125264490143
12,11066121951.2195,-64.8087399735913
13,11066317073.1707,-65.156284560489
14,11066512195.122,-64.3858873608923
15,11066707317.0732,-63.790152416928
16,11066902439.0244,-64.2913102183947
17,11067097560.9756,-64.7267888107168
18,11067292682.9268,-64.5312038312342
19,11067487804.878,-63.5304442266991
20,11067682926.8293,-63.4008255409364
21,11067878048.7805,-64.1051875465151
22,11068073170.7317,-63.9071853149081
23,11068268292.6829,-64.460713084607
24,11068463414.6341,-64.3721704598829
25,11068658536.5854,-64.6284451185909
26,11068853658.5366,-64.638533270568
27,11069048780.4878,-64.3986396577286
28,11069243902.439,-64.4281404686898
29,11069439024.3902,-64.6921893776977
30,11069634146.3415,-65.2024707269685
31,11069829268.2927,-65.3337717283426
32,11070024390.2439,-65.5261413605815
33,11070219512.1951,-64.9687092406581
34,11070414634.1463,-63.9882809657481
35,11070609756.0976,-63.7226760583419
36,11070804878.0488,-64.0985444094419
37,11071000000.0,-64.4914196507846
38,11071195121.9512,-64.7064172892512
39,11071390243.9024,-64.747200524023
40,11071585365.8537,-64.664812992594
41,11071780487.8049,-64.3790260395419
42,11071975609.7561,-64.4874521419535
43,11072170731.7073,-65.180956608893
44,11072365853.6585,-65.4993506280115
45,11072560975.6098,-64.7329037121714
46,11072756097.561,-64.1585048938458
47,11072951219.5122,-64.2227257133478
48,11073146341.4634,-64.7881789763059
49,11073341463.4146,-64.8262521326866
50,11073536585.3659,-64.4310974398157
51,11073731707.3171,-63.4684798919593
52,11073926829.2683,-63.084561689367
53,11074121951.2195,-63.6080833792521
54,11074317073.1707,-64.7267888107168
55,11074512195.122,-64.9613713589126
56,11074707317.0732,-64.943583598625
57,11074902439.0244,-64.6688608851062
58,11075097560.9756,-65.191710797085
59,11075292682.9268,-64.9091564163511
60,11075487804.878,-65.4294225671519
61,11075682926.8293,-64.8987467296496
62,11075878048.7805,-64.6314709900149
63,11076073170.7317,-64.57417465047
64,11076268292.6829,-64.8987467296496
65,11076463414.6341,-64.5912274742447
66,11076658536.5854,-64.6688608851062
67,11076853658.5366,-64.6183684499967
68,11077048780.4878,-64.9331337200829
69,11077243902.439,-64.9960109837723
70,11077439024.3902,-65.1060792099548
71,11077634146.3415,-64.5942361205942
72,11077829268.2927,-64.6314709900149
73,11078024390.2439,-65.2608235377506
74,11078219512.1951,-64.7943398112926
75,11078414634.1463,-64.8427709791512
76,11078609756.0976,-65.1637889512882
77,11078804878.0488,-64.9750021345494
78,11079000000.0,-64.1175379249459
79,11079195121.9512,-64.0258201448186
80,11079390243.9024,-64.7676639125527
81,11079585365.8537,-64.8676037949175
82,11079780487.8049,-64.9718556876038
83,11079975609.7561,-63.8020606851128
84,11080170731.7073,-64.0230009742888
85,11080365853.6585,-65.0529857885928
86,11080560975.6098,-64.7881789763059
87,11080756097.561,-64.6516645190438
88,11080951219.5122,-64.611323394518
89,11081146341.4634,-64.6587440246715
90,11081341463.4146,-64.245847505045
91,11081536585.3659,-64.1910373179225
92,11081731707.3171,-63.8516976081878
93,11081926829.2683,-63.7691206009392
94,11082121951.2195,-64.857251525131
95,11082317073.1707,-65.1884839664583
96,11082512195.122,-65.3512838874379
97,11082707317.0732,-65.1028868294771
98,11082902439.0244,-64.4251892392553
99,11083097560.9756,-64.467637564564
100,11083292682.9268,-64.8500055104496
101,11083487804.878,-64.3888271069437
102,11083682926.8293,-64.611323394518
103,11083878048.7805,-64.4943995886765
104,11084073170.7317,-64.8015398924419
105,11084268292.6829,-64.4449062078892
106,11084463414.6341,-63.8332782618345
107,11084658536.5854,-64.2102317926293
108,11084853658.5366,-64.7604982815524
109,11085048780.4878,-65.0139078361985
110,11085243902.439,-64.1843310222428
111,11085439024.3902,-64.2227257133478
112,11085634146.3415,-64.7165973082925
113,11085829268.2927,-64.9122798965307
114,11086024390.2439,-64.4015851454715
115,11086219512.1951,-64.6445907551076
116,11086414634.1463,-63.981729695739
117,11086609756.0976,-62.9863787646032
118,11086804878.0488,-62.9647096208571
119,11087000000.0,-63.7718593877878
120,11087195121.9512,-64.8087399735913
121,11087390243.9024,-65.6307262713752
122,11087585365.8537,-65.59347417688
123,11087780487.8049,-64.4547819172806
124,11087975609.7561,-63.8452439469344
125,11088170731.7073,-64.2680678511758
126,11088365853.6585,-64.7369860548326
127,11088560975.6098,-63.8360400154492
128,11088756097.561,-63.7874021466964
129,11088951219.5122,-64.4114091796394
130,11089146341.4634,-64.3790260395419
131,11089341463.4146,-64.6284451185909
132,11089536585.3659,-63.8609187647475
133,11089731707.3171,-63.7536122921797
134,11089926829.2683,-64.3721704598829
135,11090121951.2195,-64.7635700865084
136,11090317073.1707,-64.2748373054621
137,11090512195.122,-64.0042141596791
138,11090707317.0732,-63.9443742507967
139,11090902439.0244,-64.1977493552938
140,11091097560.9756,-64.7064172892512
141,11091292682.9268,-64.9195718447442
142,11091487804.878,-65.0002196436466
143,11091682926.8293,-64.9540449605501
144,11091878048.7805,-65.1884839664583
145,11092073170.7317,-64.9091564163511
146,11092268292.6829,-65.180956608893
147,11092463414.6341,-65.0710032165406
148,11092658536.5854,-64.3917668529951
149,11092853658.5366,-64.3790260395419
150,11093048780.4878,-64.3039247146348
151,11093243902.439,-64.8365756940155
152,11093439024.3902,-65.6499839046885
153,11093634146.3415,-64.8707157917141
154,11093829268.2927,-64.2362072050054
155,11094024390.2439,-64.3301814698948
156,11094219512.1951,-64.0446528929604
157,11094414634.1463,-63.9099700352889
158,11094609756.0976,-64.1527746857222
159,11094804878.0488,-64.6183684499967
160,11095000000.0,-65.2024707269685
161,11095195121.9512,-65.6954581014212
162,11095390243.9024,-65.608126973605
163,11095585365.8537,-65.191710797085
164,11095780487.8049,-64.7676639125527
165,11095975609.7561,-64.8396704657376
166,11096170731.7073,-65.0424095928375
167,11096365853.6585,-64.1080354255024
168,11096560975.6098,-64.4914196507846
169,11096756097.561,-65.1852571358315
170,11096951219.5122,-65.3228452894055
171,11097146341.4634,-64.6486329059283
172,11097341463.4146,-64.6042840807309
173,11097536585.3659,-65.2640790768349
174,11097731707.3171,-64.3399308620731
175,11097926829.2683,-64.3457816457183
176,11098121951.2195,-65.2499889658775
177,11098317073.1707,-65.2934133787424
178,11098512195.122,-65.0741841136353
179,11098707317.0732,-64.6719039816047
180,11098902439.0244,-65.1028868294771
181,11099097560.9756,-64.8159457964321
182,11099292682.9268,-65.7297245163329
183,11099487804.878,-64.8500055104496
184,11099682926.8293,-64.0729766571627
185,11099878048.7805,-64.3262886030533
186,11100073170.7317,-64.0540807504144
187,11100268292.6829,-64.0606894373385
188,11100463414.6341,-63.6719596972636
189,11100658536.5854,-63.699094931324
190,11100853658.5366,-64.4114091796394
191,11101048780.4878,-65.0848062429226
192,11101243902.439,-64.791262264645
193,11101439024.3902,-65.0816196041364
194,11101634146.3415,-64.3819657855933
195,11101829268.2927,-64.0446528929604
196,11102024390.2439,-64.1527746857222
197,11102219512.1951,-64.1843310222428
198,11102414634.1463,-64.2006259427387
199,11102609756.0976,-63.9761143214455
200,11102804878.0488,-64.5112916450891
201,11103000000.0,-64.9613713589126
202,11103195121.9512,-65.0986264943792
203,11103390243.9024,-65.2207982062577
204,11103585365.8537,-64.5771832968195
205,11103780487.8049,-64.1690179309945
206,11103975609.7561,-64.6314709900149
207,11104170731.7073,-65.0667601065172
208,11104365853.6585,-64.7064172892512
209,11104560975.6098,-64.2680678511758
210,11104756097.561,-64.611323394518
211,11104951219.5122,-64.8707157917141
212,11105146341.4634,-65.0603983123279
213,11105341463.4146,-64.9164483645646
214,11105536585.3659,-64.7023521716645
215,11105731707.3171,-64.9049936900088
216,11105926829.2683,-64.4015851454715
217,11106121951.2195,-63.9948379774487
218,11106317073.1707,-64.2748373054621
219,11106512195.122,-64.8987467296496
220,11106707317.0732,-64.4449062078892
221,11106902439.0244,-64.2777426013645
222,11107097560.9756,-63.9378574309367
223,11107292682.9268,-64.0635258329428
224,11107487804.878,-64.8707157917141
225,11107682926.8293,-64.3165564359495
226,11107878048.7805,-63.9602328027381
227,11108073170.7317,-64.3526142586113
228,11108268292.6829,-65.0318391387738
229,11108463414.6341,-65.5105009929174
230,11108658536.5854,-64.9373136714998
231,11108853658.5366,-64.3790260395419
232,11109048780.4878,-64.1080354255024
233,11109243902.439,-64.8842030250632
234,11109439024.3902,-64.8293469044087
235,11109634146.3415,-64.9268752763407
236,11109829268.2927,-64.8190405681542
237,11110024390.2439,-64.2874288349362
238,11110219512.1951,-64.6850811636125
239,11110414634.1463,-64.6546961321593
240,11110609756.0976,-64.8842030250632
241,11110804878.0488,-65.2499889658775
242,11111000000.0,-65.0424095928375
243,11111195121.9512,-65.3119360755428
244,11111390243.9024,-64.4547819172806
245,11111585365.8537,-64.2419890883526
246,11111780487.8049,-64.5882130862038
247,11111975609.7561,-64.9331337200829
248,11112170731.7073,-63.9723764802747
249,11112365853.6585,-64.1690179309945
250,11112560975.6098,-64.6719039816047
251,11112756097.561,-63.8572325988003
252,11112951219.5122,-64.0512500965016
253,11113146341.4634,-64.3010079353495
254,11113341463.4146,-64.8159457964321
255,11113536585.3659,-64.7267888107168
256,11113731707.3171,-64.9582306536585
257,11113926829.2683,-64.470606019073
258,11114121951.2195,-64.2942155142971
259,11114317073.1707,-64.8883542680225
260,11114512195.122,-65.5485224740744
261,11114707317.0732,-64.6445907551076
262,11114902439.0244,-64.4508316335241
263,11115097560.9756,-64.7329037121714
264,11115292682.9268,-65.2716753346982
265,11115487804.878,-64.5882130862038
266,11115682926.8293,-64.6789949706154
267,11115878048.7805,-65.2315983279817
268,11116073170.7317,-64.7676639125527
269,11116268292.6829,-64.9268752763407
270,11116463414.6341,-65.0816196041364
271,11116658536.5854,-65.355670539749
272,11116853658.5366,-64.8324416761307
273,11117048780.4878,-64.4182992094474
274,11117243902.439,-64.5671697868319
275,11117439024.3902,-64.7943398112926
276,11117634146.3415,-64.7064172892512
277,11117829268.2927,-64.9331337200829
278,11118024390.2439,-64.5841996438406
279,11118219512.1951,-64.7809961202311
280,11118414634.1463,-64.2816182431315
281,11118609756.0976,-64.6719039816047
282,11118804878.0488,-63.4896782170019
283,11119000000.0,-62.9505735763677
284,11119195121.9512,-62.8843431648385
285,11119390243.9024,-63.1277105010395
286,11119585365.8537,-63.6864230181689
287,11119780487.8049,-64.5043327149831
288,11119975609.7561,-64.7809961202311
289,11120170731.7073,-64.7502665872875
290,11120365853.6585,-65.3119360755428
291,11120560975.6098,-64.1585048938458
292,11120756097.561,-63.9192543504551
293,11120951219.5122,-64.3107228773787
294,11121146341.4634,-64.470606019073
295,11121341463.4146,-64.7502665872875
296,11121536585.3659,-65.0170715082187
297,11121731707.3171,-65.0107441641783
298,11121926829.2683,-65.2825386150288
299,11122121951.2195,-65.0603983123279
300,11122317073.1707,-64.7329037121714
301,11122512195.122,-64.3888271069437
302,11122707317.0732,-64.3760862934905
